Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,0,1,0,1,0,0,0,1,0,1,0.9386907939407042
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,1,0,0,0,1,0,1,0,1,0.8475260335716387
"Taussig, Mr. Emil",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912346343
"Ryerson, Miss. Emily Borie",2,1,0,0,1,0,0,0,0,0,1,0,1,0.9372653748980858
"Sharp, Mr. Percival James R",0,0,1,0,0,0,1,0,0,0,0,0,0,0.2310606725466789
"Thayer, Mr. John Borland Jr",0,0,0,0,1,0,0,0,0,0,0,0,1,0.7185905940828143
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,0,1,0,0,0,1,0,1,0,0,1,0.6432028213844946
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,0,0,0,1,1,0,0,1,0.9338171626827038
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193410406
"Ohman, Miss. Velin",0,1,0,1,0,0,1,0,0,0,1,0,1,0.506280657930155
"Crease, Mr. Ernest James",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073545537
"Bateman, Rev. Robert James",0,0,1,0,0,0,0,0,1,0,0,1,0,0.15108019799560457
"Barton, Mr. David John",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Mallet, Mr. Albert",1,0,1,0,1,0,0,1,0,0,0,0,0,0.22060760832575507
"Bourke, Mrs. John (Catherine)",1,1,0,1,0,1,0,1,0,1,0,0,0,0.609670998175833
"Gronnestad, Mr. Daniel Danielsen",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901389519
"Ilett, Miss. Bertha",0,1,1,0,0,0,0,0,0,0,1,0,1,0.854457692522079
"Lang, Mr. Fang",0,0,0,1,0,0,1,0,0,0,0,0,1,0.08654422116462697
"Newell, Miss. Marjorie",1,1,0,0,1,0,1,0,0,0,1,0,1,0.9184139761738612
